type,county,violentcrime,manm,rape,robbery,aa,propertycrime,burglary,larcenytheft,motorvehicletheft,arson
Metropolitan Counties,Fresno,962,8,32,112,810,3810,1398,1838,574,145
Metropolitan Counties,Marin,95,3,5,20,67,746,189,554,3,4
Metropolitan Counties,San Bernardino,920,18,91,141,670,5527,1719,2583,1225,62
Nonmetropolitan Counties,Alpine3,9,0,0,0,9,35,15,19,1,0
Nonmetropolitan Counties,Mariposa,89,0,8,1,80,268,77,189,2,0
Metropolitan Counties,Riverside,885,12,38,172,663,7680,1880,4321,1479,18
Metropolitan Counties,Yolo,87,1,13,5,68,309,109,185,15,6
Metropolitan Counties,San Joaquin,845,5,18,161,661,3564,1039,2381,144,30
Nonmetropolitan Counties,Plumas3,82,1,12,4,65,271,111,156,4,0
Metropolitan Counties,Napa,79,1,13,3,62,278,107,170,1,0
Metropolitan Counties,Shasta,697,3,69,26,599,958,423,489,46,23
Metropolitan Counties,Sonoma,638,5,73,58,502,1468,517,937,14,19
Nonmetropolitan Counties,Inyo3,58,0,7,7,44,107,41,65,1,0
Metropolitan Counties,Alameda,510,6,13,177,314,2077,463,985,629,11
Nonmetropolitan Counties,Amador3,50,1,2,5,42,340,130,205,5,1
Metropolitan Counties,Los Angeles,5173,98,304,1212,3559,16301,3739,8359,4203,215
Nonmetropolitan Counties,Lassen3,47,0,3,3,41,200,78,122,0,3
Nonmetropolitan Counties,Glenn3,44,1,2,3,38,165,74,89,2,2
Metropolitan Counties,Merced,432,10,20,30,372,1605,596,955,54,10
Metropolitan Counties,Contra Costa,426,14,24,153,235,2013,660,1332,21,18
Metropolitan Counties,San Benito,41,1,4,4,32,173,57,106,10,0
Metropolitan Counties,Stanislaus,394,11,35,122,226,2123,884,1188,51,14
Nonmetropolitan Counties,Siskiyou,39,2,4,6,27,158,70,79,9,0
Metropolitan Counties,Tulare4,383,23,29,64,267,2075,750,1325,0,0
Nonmetropolitan Counties,Modoc3,34,0,1,0,33,54,18,36,0,0
Nonmetropolitan Counties,Trinity,34,1,6,5,22,187,94,90,3,0
Metropolitan Counties,Madera,334,1,18,26,289,1252,556,686,10,4
Metropolitan Counties,San Mateo,330,3,53,90,184,2796,467,1953,376,15
Nonmetropolitan Counties,Colusa3,33,0,2,0,31,166,49,116,1,0
Metropolitan Counties,San Luis Obispo3,324,3,17,15,289,1347,461,873,13,3
Nonmetropolitan Counties,Mendocino,324,5,56,20,243,451,215,230,6,10
Metropolitan Counties,Sacramento,3117,37,155,1026,1899,11164,3690,7348,126,31
Nonmetropolitan Counties,Sierra,3,0,0,0,3,31,5,23,3,0
Metropolitan Counties,Placer,299,4,20,36,239,1659,454,1163,42,4
Metropolitan Counties,Santa Cruz,295,0,25,40,230,1935,604,1323,8,15
Metropolitan Counties,Santa Barbara,266,2,29,32,203,1676,511,1152,13,12
Nonmetropolitan Counties,Humboldt3,265,7,18,45,195,760,371,358,31,12
Metropolitan Counties,El Dorado3,252,9,46,32,165,2031,577,1412,42,4
Metropolitan Counties,Monterey,244,5,31,48,160,1246,347,872,27,12
Metropolitan Counties,Santa Clara,232,4,36,24,168,1358,261,899,198,3
Metropolitan Counties,Yuba,227,3,19,40,165,1223,417,799,7,11
Metropolitan Counties,Imperial3,219,0,6,7,206,625,202,395,28,21
Metropolitan Counties,Orange,213,2,12,28,171,1265,244,879,142,11
Nonmetropolitan Counties,Lake3,200,3,16,17,164,837,380,452,5,13
Metropolitan Counties,Kern,2235,31,157,360,1687,9903,3243,4777,1883,300
Nonmetropolitan Counties,Tuolumne3,185,0,49,22,114,749,413,330,6,2
Metropolitan Counties,Ventura,169,3,32,16,118,849,236,530,83,15
Nonmetropolitan Counties,Tehama,167,3,5,1,158,249,173,75,1,14
Metropolitan Counties,Butte3,155,4,20,14,117,1422,708,693,21,0
Nonmetropolitan Counties,Mono3,14,0,1,2,11,42,16,25,1,0
Nonmetropolitan Counties,Nevada,139,0,10,8,121,716,380,321,15,5
Metropolitan Counties,Kings3,122,2,16,9,95,470,193,265,12,5
Nonmetropolitan Counties,Calaveras3,111,6,24,8,73,656,251,386,19,0
Metropolitan Counties,Sutter3,104,1,9,10,84,562,185,332,45,4
Nonmetropolitan Counties,Del Norte3,101,1,21,13,66,380,194,182,4,13
Metropolitan Counties,Solano,101,3,7,14,77,404,186,176,42,9
Metropolitan Counties,San Diego,1161,10,110,161,880,4784,1153,2843,788,41
